movement,number,status,codeshareStatus,isCargo,airline,aircraft,callSign,flight_type,code
"{'airport': {'icao': 'KMIA', 'iata': 'MIA', 'name': 'Miami', 'timeZone': 'America/New_York'}, 'scheduledTime': {'utc': '2025-02-04 17:05Z', 'local': '2025-02-04 12:05-05:00'}, 'revisedTime': {'utc': '2025-02-04 17:00Z', 'local': '2025-02-04 12:00-05:00'}, 'terminal': '2', 'quality': ['Basic', 'Live']}",L7 2821,Arrived,IsOperator,True,"{'name': 'LATAM Cargo Colombia', 'iata': 'L7', 'icao': 'LAE'}",,,arrival,BOG
"{'airport': {'icao': 'SBBR', 'iata': 'BSB', 'name': 'Brasília', 'timeZone': 'America/Sao_Paulo'}, 'scheduledTime': {'utc': '2025-02-04 17:22Z', 'local': '2025-02-04 12:22-05:00'}, 'revisedTime': {'utc': '2025-02-04 17:00Z', 'local': '2025-02-04 12:00-05:00'}, 'terminal': '1', 'baggageBelt': '03', 'quality': ['Basic', 'Live']}",G3 8242,Arrived,IsOperator,False,"{'name': 'GOL Linhas Aereas', 'iata': 'G3', 'icao': 'GLO'}",{'model': 'Boeing 737'},,arrival,BOG
"{'airport': {'icao': 'SKBG', 'iata': 'BGA', 'name': 'Bucaramanga', 'timeZone': 'America/Bogota'}, 'scheduledTime': {'utc': '2025-02-04 17:09Z', 'local': '2025-02-04 12:09-05:00'}, 'revisedTime': {'utc': '2025-02-04 17:01Z', 'local': '2025-02-04 12:01-05:00'}, 'terminal': '1', 'baggageBelt': '08', 'quality': ['Basic', 'Live']}",LA 4175,Arrived,IsOperator,False,"{'name': 'LATAM', 'iata': 'LA', 'icao': 'LAN'}",{'model': 'Airbus A320'},,arrival,BOG
"{'airport': {'icao': 'SEGU', 'iata': 'GYE', 'name': 'Guayaquil', 'timeZone': 'America/Guayaquil'}, 'scheduledTime': {'utc': '2025-02-04 16:50Z', 'local': '2025-02-04 11:50-05:00'}, 'revisedTime': {'utc': '2025-02-04 17:04Z', 'local': '2025-02-04 12:04-05:00'}, 'terminal': '1', 'baggageBelt': '04', 'quality': ['Basic', 'Live']}",AV 8384,Arrived,IsOperator,False,"{'name': 'Avianca', 'iata': 'AV', 'icao': 'AVA'}",{'model': 'Airbus A320'},,arrival,BOG
"{'airport': {'icao': 'KMIA', 'iata': 'MIA', 'name': 'Miami', 'timeZone': 'America/New_York'}, 'scheduledTime': {'utc': '2025-02-04 17:32Z', 'local': '2025-02-04 12:32-05:00'}, 'revisedTime': {'utc': '2025-02-04 17:05Z', 'local': '2025-02-04 12:05-05:00'}, 'terminal': '1', 'baggageBelt': '04', 'quality': ['Basic', 'Live']}",AA 1145,Arrived,IsOperator,False,"{'name': 'American', 'iata': 'AA', 'icao': 'AAL'}","{'reg': 'N306SW', 'modeS': 'A33741', 'model': 'Boeing 737'}",AAL1145,arrival,BOG
"{'airport': {'icao': 'SKPD', 'iata': 'PDA', 'name': 'Puerto Inírida', 'timeZone': 'America/Bogota'}, 'scheduledTime': {'utc': '2025-02-04 17:15Z', 'local': '2025-02-04 12:15-05:00'}, 'revisedTime': {'utc': '2025-02-04 17:05Z', 'local': '2025-02-04 12:05-05:00'}, 'terminal': '2', 'baggageBelt': 'CD1', 'quality': ['Basic', 'Live']}",9R 8705,Arrived,IsOperator,False,"{'name': 'SATENA', 'iata': '9R', 'icao': 'NSE'}",{'model': 'Embraer RJ145'},,arrival,BOG
"{'airport': {'icao': 'SKCC', 'iata': 'CUC', 'name': 'Cúcuta', 'timeZone': 'America/Bogota'}, 'scheduledTime': {'utc': '2025-02-04 17:10Z', 'local': '2025-02-04 12:10-05:00'}, 'revisedTime': {'utc': '2025-02-04 17:08Z', 'local': '2025-02-04 12:08-05:00'}, 'terminal': '1', 'baggageBelt': '07', 'quality': ['Basic', 'Live']}",LA 4191,Arrived,IsOperator,False,"{'name': 'LATAM', 'iata': 'LA', 'icao': 'LAN'}",{'model': 'Airbus A320'},,arrival,BOG
"{'airport': {'icao': 'KMIA', 'iata': 'MIA', 'name': 'Miami', 'timeZone': 'America/New_York'}, 'scheduledTime': {'utc': '2025-02-04 17:15Z', 'local': '2025-02-04 12:15-05:00'}, 'revisedTime': {'utc': '2025-02-04 17:10Z', 'local': '2025-02-04 12:10-05:00'}, 'terminal': '2', 'quality': ['Basic', 'Live']}",L7 2813,Arrived,IsOperator,True,"{'name': 'LATAM Cargo Colombia', 'iata': 'L7', 'icao': 'LAE'}",,,arrival,BOG
"{'airport': {'icao': 'SKRG', 'iata': 'MDE', 'name': 'Rionegro', 'timeZone': 'America/Bogota'}, 'scheduledTime': {'utc': '2025-02-04 17:24Z', 'local': '2025-02-04 12:24-05:00'}, 'revisedTime': {'utc': '2025-02-04 17:11Z', 'local': '2025-02-04 12:11-05:00'}, 'terminal': '1', 'baggageBelt': '07', 'quality': ['Basic', 'Live']}",LA 4019,Arrived,IsOperator,False,"{'name': 'LATAM', 'iata': 'LA', 'icao': 'LAN'}",{'model': 'Airbus A320'},,arrival,BOG
"{'airport': {'icao': 'SKCL', 'iata': 'CLO', 'name': 'Santiago de Cali', 'timeZone': 'America/Bogota'}, 'scheduledTime': {'utc': '2025-02-04 17:24Z', 'local': '2025-02-04 12:24-05:00'}, 'revisedTime': {'utc': '2025-02-04 17:12Z', 'local': '2025-02-04 12:12-05:00'}, 'terminal': '1', 'baggageBelt': '10', 'quality': ['Basic', 'Live']}",AV 9726,Arrived,IsOperator,False,"{'name': 'Avianca', 'iata': 'AV', 'icao': 'AVA'}",{'model': 'Airbus A320'},,arrival,BOG
"{'airport': {'icao': 'SVMI', 'iata': 'CCS', 'name': 'Caracas', 'timeZone': 'America/Caracas'}, 'scheduledTime': {'utc': '2025-02-04 17:35Z', 'local': '2025-02-04 12:35-05:00'}, 'revisedTime': {'utc': '2025-02-04 17:15Z', 'local': '2025-02-04 12:15-05:00'}, 'terminal': '1', 'baggageBelt': '06', 'quality': ['Basic', 'Live']}",AV 143,Arrived,IsOperator,False,"{'name': 'Avianca', 'iata': 'AV', 'icao': 'AVA'}",{'model': 'Airbus A320'},,arrival,BOG
"{'airport': {'icao': 'SKPS', 'iata': 'PSO', 'name': 'Pasto', 'timeZone': 'America/Bogota'}, 'scheduledTime': {'utc': '2025-02-04 17:35Z', 'local': '2025-02-04 12:35-05:00'}, 'revisedTime': {'utc': '2025-02-04 17:18Z', 'local': '2025-02-04 12:18-05:00'}, 'terminal': '1', 'baggageBelt': '12', 'quality': ['Basic', 'Live']}",AV 8562,Arrived,IsOperator,False,"{'name': 'Avianca', 'iata': 'AV', 'icao': 'AVA'}",{'model': 'Airbus A320'},,arrival,BOG
