movement,number,status,codeshareStatus,isCargo,airline,callSign,aircraft,flight_type,code
"{'airport': {'name': 'MSK'}, 'scheduledTime': {'utc': '2025-03-07 15:55Z', 'local': '2025-03-07 10:55-05:00'}, 'revisedTime': {'utc': '2025-03-07 17:00Z', 'local': '2025-03-07 12:00-05:00'}, 'terminal': '2', 'baggageBelt': 'CD2', 'quality': ['Basic', 'Live']}",VE 9001,Arrived,IsOperator,False,"{'name': 'EasyFly', 'iata': 'VE', 'icao': 'EFY'}",,,arrival,BOG
"{'airport': {'icao': 'TNCC', 'iata': 'CUR', 'name': 'Willemstad', 'timeZone': 'America/Curacao'}, 'scheduledTime': {'utc': '2025-03-07 16:59Z', 'local': '2025-03-07 11:59-05:00'}, 'revisedTime': {'utc': '2025-03-07 17:05Z', 'local': '2025-03-07 12:05-05:00'}, 'terminal': '1', 'baggageBelt': '03', 'quality': ['Basic', 'Live']}",AV 93,Arrived,IsOperator,False,"{'name': 'Avianca', 'iata': 'AV', 'icao': 'AVA'}",AVA093,"{'reg': 'N562AV', 'modeS': 'A72E6C', 'model': 'Airbus A320'}",arrival,BOG
"{'airport': {'icao': 'SKCL', 'iata': 'CLO', 'name': 'Santiago de Cali', 'timeZone': 'America/Bogota'}, 'scheduledTime': {'utc': '2025-03-07 17:24Z', 'local': '2025-03-07 12:24-05:00'}, 'revisedTime': {'utc': '2025-03-07 17:05Z', 'local': '2025-03-07 12:05-05:00'}, 'terminal': '1', 'baggageBelt': '10', 'quality': ['Basic', 'Live']}",AV 9726,Arrived,IsOperator,False,"{'name': 'Avianca', 'iata': 'AV', 'icao': 'AVA'}",,{'model': 'Airbus A320'},arrival,BOG
"{'airport': {'icao': 'SKPE', 'iata': 'PEI', 'name': 'Pereira', 'timeZone': 'America/Bogota'}, 'scheduledTime': {'utc': '2025-03-07 17:04Z', 'local': '2025-03-07 12:04-05:00'}, 'revisedTime': {'utc': '2025-03-07 17:07Z', 'local': '2025-03-07 12:07-05:00'}, 'terminal': '1', 'baggageBelt': '08', 'quality': ['Basic', 'Live']}",LA 4217,Arrived,IsOperator,False,"{'name': 'LATAM', 'iata': 'LA', 'icao': 'LAN'}",,{'model': 'Airbus A320'},arrival,BOG
"{'airport': {'icao': 'KIAD', 'iata': 'IAD', 'name': 'Washington', 'timeZone': 'America/New_York'}, 'scheduledTime': {'utc': '2025-03-07 16:40Z', 'local': '2025-03-07 11:40-05:00'}, 'revisedTime': {'utc': '2025-03-07 17:09Z', 'local': '2025-03-07 12:09-05:00'}, 'terminal': '1', 'baggageBelt': '04', 'quality': ['Basic', 'Live']}",AV 149,Arrived,IsOperator,False,"{'name': 'Avianca', 'iata': 'AV', 'icao': 'AVA'}",AVA149,"{'reg': 'N766AV', 'modeS': 'AA57E6', 'model': 'Airbus A320 NEO'}",arrival,BOG
"{'airport': {'icao': 'SKPI', 'iata': 'PTX', 'name': 'Pitalito', 'timeZone': 'America/Bogota'}, 'scheduledTime': {'utc': '2025-03-07 17:20Z', 'local': '2025-03-07 12:20-05:00'}, 'revisedTime': {'utc': '2025-03-07 17:10Z', 'local': '2025-03-07 12:10-05:00'}, 'terminal': '2', 'baggageBelt': 'CD1', 'quality': ['Basic', 'Live']}",9R 8903,Arrived,IsOperator,False,"{'name': 'SATENA', 'iata': '9R', 'icao': 'NSE'}",,{'model': 'ATR 42-300'},arrival,BOG
"{'airport': {'icao': 'KMIA', 'iata': 'MIA', 'name': 'Miami', 'timeZone': 'America/New_York'}, 'scheduledTime': {'utc': '2025-03-07 17:32Z', 'local': '2025-03-07 12:32-05:00'}, 'revisedTime': {'utc': '2025-03-07 17:11Z', 'local': '2025-03-07 12:11-05:00'}, 'terminal': '1', 'baggageBelt': '05', 'quality': ['Basic', 'Live']}",AA 1145,Arrived,IsOperator,False,"{'name': 'American', 'iata': 'AA', 'icao': 'AAL'}",AAL1145,"{'reg': 'N331TK', 'modeS': 'A39B39', 'model': 'Boeing 737'}",arrival,BOG
"{'airport': {'icao': 'SKUC', 'iata': 'AUC', 'name': 'Arauca', 'timeZone': 'America/Bogota'}, 'scheduledTime': {'utc': '2025-03-07 17:30Z', 'local': '2025-03-07 12:30-05:00'}, 'revisedTime': {'utc': '2025-03-07 17:15Z', 'local': '2025-03-07 12:15-05:00'}, 'terminal': '2', 'quality': ['Basic', 'Live']}",6N 2157,Arrived,IsOperator,True,"{'name': 'Niger', 'iata': '6N', 'icao': 'NIN'}",,,arrival,BOG
"{'airport': {'icao': 'SKSP', 'iata': 'ADZ', 'name': 'San Andrés', 'timeZone': 'America/Bogota'}, 'scheduledTime': {'utc': '2025-03-07 17:35Z', 'local': '2025-03-07 12:35-05:00'}, 'revisedTime': {'utc': '2025-03-07 17:16Z', 'local': '2025-03-07 12:16-05:00'}, 'terminal': '1', 'baggageBelt': '13', 'quality': ['Basic', 'Live']}",AV 9445,Arrived,IsOperator,False,"{'name': 'Avianca', 'iata': 'AV', 'icao': 'AVA'}",,{'model': 'Airbus A320'},arrival,BOG
"{'airport': {'icao': 'SKPS', 'iata': 'PSO', 'name': 'Pasto', 'timeZone': 'America/Bogota'}, 'scheduledTime': {'utc': '2025-03-07 17:35Z', 'local': '2025-03-07 12:35-05:00'}, 'revisedTime': {'utc': '2025-03-07 17:18Z', 'local': '2025-03-07 12:18-05:00'}, 'terminal': '1', 'baggageBelt': '11', 'quality': ['Basic', 'Live']}",AV 8562,Arrived,IsOperator,False,"{'name': 'Avianca', 'iata': 'AV', 'icao': 'AVA'}",,{'model': 'Airbus A320'},arrival,BOG
